1,2.5,?t????????10??????????A?A?A<br><br>???Ç????????f??????????A????????????????B<br><br>???????????A?K????????????????A<br>?????????????????B,??????????V?ÑÑ?s??????I<br>????????H,??????s?????????????H,???[?A??????B,????????????H,????I?I,?f?????????I,???Ç???????B?B?B,???[?A?????,?????A??????????,2
2,2.3,?????????U???f??????A?????????????????[?C??????????m??????????q?B<br>?????w???????????????????A?A?A<br>???w?R???????o??????????????b?????????B<br><br>????????A?P??Y???[?C???????????????????????????????I<br><br>?c???????????I<br>?c?c????????I?I,?E?E?E?E?E?E?B,?J??????B????????A?????H,?c????????B,?[?C??????D??????????H,?c?????I,????????o?????????H,?c???`?????ÅH,???[?A???[?A???????I,?E?E?E?E?E?E?K?`??(?o??s??),3
3,2.8,3?N??t??????????l?c?c.<br>?F?B???ìÎ?????b????????????v???|?[?Y??????????B<br>????????w?????????B,?????E?E??????H,?C??????,?E?E?E??????,???????X?`??????????????H,????????????H,???a???????????,???ñb????B?ôÀ??????,????????ñb????B???????????,???????????éà?????,4
4,2.1,???Z?O?N??????O?c.<br>??????D????}?l?[?W???[????????l??????<br>???????????????b???????????<br>?}?l?[?W???[?????????????????????,????????????c<br>???v????H.,?I????C????,??????H,?S?z??????I<br>?]?T??????,???Ç??????????H,??????????Éü??v????I,????????I<br>?????????????I,?????M??????I,????B????????c.<br>???ñb???,3
5,3,????????????F?B????A????????<br>?F?u???k???????????v?????<br>???????u?????????H?v???????<br>?????????F?B????????????c,?????????????????????????????????H,??????B???????????H,???ñb????B<br>???????????i?S????j,????????B??????????????,?????[??,????????????c,?????Ç????,?h????¯???I,??????????????????[<br>?????????,4
6,2.8,???A???????\?t?@?[??????????<br>???????????c???f?????????Ç?<br>???????????????????????????<br>?????????l????????????????????,?????????????å°???H????????????,?????????????,??????l????????????H,????s??????U??,?L???I????????????I,???????L???,?????A????????????,????????,???????x?H????????????????c.,3
7,2.8,?l???w????S?B<br>??w???????????X?????q???b???@?????????B<br>????????????N???X???????????q???l????????k???????????B,????S?N?B<br>????A?h?o?C?X?~????????B,?????????????????????????????H,???????B?B?B,?????b?????????,????!!???ñb??!!,???O?à????????A??Éü??v????!!,?z???g??!?<br>????????!!,?????Ç????????????,???B?B?B?B?B,2
8,2.6,???[?????D?????????q???O?????f?[?g?B<br>??l????D????f?????A?f?????????????????????D????W?????????S???????????B<br>?`?P?b?g??????O???????????????C??g??????????B,?q?N????i????f??????,?A?N?V????!!SF!!,???????B?B?B,????????!!,??[?B????????B,?????????????????B,???B????B,????W??????????????????B?????[?,????????u?R???n????????????B,4
9,2.5,??????X??z?B???B<br>?m?????????????????b?g?[???B<br>???Ç???p????????}???V???????????????B<br>???????B?B?B<br>???Ç??????????T?C???????????W?????W?B<br>????B??????????????T?C??????????????????B<br>????\?????Ç??????B<br>????????????????,????[?B??????????????????,?T?C???????????B(???C??),???B????B??????????B,?????????????????????B,?o??s????B,???????????<br>???????!!,???!!<br>?ÉI????????????B,?????B????????????B<br>?d?????????B,?^????l??B,3
10,2.9,?l????O??q?B<br>??????????T?????[?}?????B<br>??????l??20???????B<br>????l???????L?O?????????A???????????W??????B<br>???????O?????B<br>?l???â????y???B<br>?????????????????l???????????i??D????????B<br>????????????2?N??t???????????????????B<br>???????????????çn???????????????B,?q??y????????a???????????<br>?????????d???I??????ÑÑ??s????????,?o???????????!!<br>???????????????????????,?????????„Î??????????B?B?B,??????B?s???s??!!,???B????l????????B,??????????????,?????????????!!,??????????U??????????????????B,???????????B,3
11,2.6,???????w?B<br>?F?B??L????????????B,???A?q???????!,?E?E?E?E?E?B,?E?E?E?E?E?B,???A?????B,?E?E?E?E?E?B,?????[??!!,?????[??!!!!!,(???????????),(???????),4
12,2.7,?l????O??q?B<br>???????A?^?b?N????????t?????????????????????????f?[?g?B<br>?l?????????????????????????????B,????[??q?N!!<br>??????H,??????B<br>???????????!!,?îY????!!,??????????B<br>?????????B,??????B?B?B,????????v????!!,?????????????????B,???A????B????A????B<br>???v?B????B???v?B,?B?B?B?B?B,1
13,2.4,?l????O??q?B<br>?t?????????????????????B<br>?????p????????????A?????????C????????t???????????B<br>?f?[?g??A??A?I?d????????????B<br>????A????????????A?Ç????????????????????????B,?E?E?E?E?E?E?B,?????????H,??????B????????B,(???????),?D??????!,?????B?I?d???B,?A??????B,???ÑÑ?????H,????B,2
